+---------------+--------------------+------------------------+
| # of Clusters |      Inertia       | Silhouette coefficient |
+---------------+--------------------+------------------------+
|       2       | 28530.630253006162 |  0.05234138972809661   |
|       3       | 27792.794901751382 |  0.026873111782477282  |
|       4       | 27200.017061030438 |  0.01570996978851961   |
|       5       | 26820.970989329235 | 0.0024622356495468257  |
|       6       |  26484.1633685326  | -0.008081570996978841  |
|       7       | 26165.392750434374 | -0.013836858006042337  |
|       8       | 25901.85617463998  | -0.022522658610271928  |
|       9       | 25698.071172295025 | -0.029078549848942568  |
|       10      | 25488.59874036351  | -0.036163141993957676  |
|       11      | 25316.218652672527 |  -0.04173716012084584  |
|       12      | 25142.604176866236 |  -0.04717522658610265  |
|       13      | 24978.634769965392 | -0.052779456193353516  |
|       14      | 24780.930796862896 |  -0.05672205438066455  |
|       15      | 24680.198352349416 | -0.060483383685800585  |
|       16      |  24522.0204427181  |  -0.0638217522658609   |
|       17      | 24391.99431494524  |  -0.06783987915407863  |
|       18      | 24245.229481979557 |  -0.07080060422960735  |
|       19      | 24143.95270056916  |  -0.07356495468277935  |
|       20      | 23978.614340248143 |  -0.07424471299093655  |
|       21      | 23867.430888392537 |  -0.07726586102719042  |
|       22      | 23734.27767803353  |  -0.07750755287009066  |
|       23      | 23656.083792710593 |  -0.08252265861027204  |
|       24      | 23508.568439463048 |  -0.08324773413897299  |
|       25      | 23423.46694136093  |  -0.08605740181268896  |
+---------------+--------------------+------------------------+
